,year,url
0,2009,http://en.wikipedia.org/wiki/2009_Formula_One_season
1,2008,http://en.wikipedia.org/wiki/2008_Formula_One_season
2,2007,http://en.wikipedia.org/wiki/2007_Formula_One_season
3,2006,http://en.wikipedia.org/wiki/2006_Formula_One_season
4,2005,http://en.wikipedia.org/wiki/2005_Formula_One_season
5,2004,http://en.wikipedia.org/wiki/2004_Formula_One_season
6,2003,http://en.wikipedia.org/wiki/2003_Formula_One_season
7,2002,http://en.wikipedia.org/wiki/2002_Formula_One_season
8,2001,http://en.wikipedia.org/wiki/2001_Formula_One_season
9,2000,http://en.wikipedia.org/wiki/2000_Formula_One_season
10,1999,http://en.wikipedia.org/wiki/1999_Formula_One_season
11,1998,http://en.wikipedia.org/wiki/1998_Formula_One_season
12,1997,http://en.wikipedia.org/wiki/1997_Formula_One_season
13,1996,http://en.wikipedia.org/wiki/1996_Formula_One_season
14,1995,http://en.wikipedia.org/wiki/1995_Formula_One_season
15,1994,http://en.wikipedia.org/wiki/1994_Formula_One_season
16,1993,http://en.wikipedia.org/wiki/1993_Formula_One_season
17,1992,http://en.wikipedia.org/wiki/1992_Formula_One_season
18,1991,http://en.wikipedia.org/wiki/1991_Formula_One_season
19,1990,http://en.wikipedia.org/wiki/1990_Formula_One_season
20,2010,http://en.wikipedia.org/wiki/2010_Formula_One_season
21,1989,http://en.wikipedia.org/wiki/1989_Formula_One_season
22,1988,http://en.wikipedia.org/wiki/1988_Formula_One_season
23,1987,http://en.wikipedia.org/wiki/1987_Formula_One_season
24,1986,http://en.wikipedia.org/wiki/1986_Formula_One_season
25,1985,http://en.wikipedia.org/wiki/1985_Formula_One_season
26,1984,http://en.wikipedia.org/wiki/1984_Formula_One_season
27,1983,http://en.wikipedia.org/wiki/1983_Formula_One_season
28,1982,http://en.wikipedia.org/wiki/1982_Formula_One_season
29,1981,http://en.wikipedia.org/wiki/1981_Formula_One_season
30,1980,http://en.wikipedia.org/wiki/1980_Formula_One_season
31,1979,http://en.wikipedia.org/wiki/1979_Formula_One_season
32,1978,http://en.wikipedia.org/wiki/1978_Formula_One_season
33,1977,http://en.wikipedia.org/wiki/1977_Formula_One_season
34,1976,http://en.wikipedia.org/wiki/1976_Formula_One_season
35,1975,http://en.wikipedia.org/wiki/1975_Formula_One_season
36,1974,http://en.wikipedia.org/wiki/1974_Formula_One_season
37,1973,http://en.wikipedia.org/wiki/1973_Formula_One_season
38,1972,http://en.wikipedia.org/wiki/1972_Formula_One_season
39,1971,http://en.wikipedia.org/wiki/1971_Formula_One_season
40,1970,http://en.wikipedia.org/wiki/1970_Formula_One_season
41,1969,http://en.wikipedia.org/wiki/1969_Formula_One_season
42,1968,http://en.wikipedia.org/wiki/1968_Formula_One_season
43,1967,http://en.wikipedia.org/wiki/1967_Formula_One_season
44,1966,http://en.wikipedia.org/wiki/1966_Formula_One_season
45,1965,http://en.wikipedia.org/wiki/1965_Formula_One_season
46,1964,http://en.wikipedia.org/wiki/1964_Formula_One_season
47,1963,http://en.wikipedia.org/wiki/1963_Formula_One_season
48,1962,http://en.wikipedia.org/wiki/1962_Formula_One_season
49,1961,http://en.wikipedia.org/wiki/1961_Formula_One_season
50,1960,http://en.wikipedia.org/wiki/1960_Formula_One_season
51,1959,http://en.wikipedia.org/wiki/1959_Formula_One_season
52,1958,http://en.wikipedia.org/wiki/1958_Formula_One_season
53,1957,http://en.wikipedia.org/wiki/1957_Formula_One_season
54,1956,http://en.wikipedia.org/wiki/1956_Formula_One_season
55,1955,http://en.wikipedia.org/wiki/1955_Formula_One_season
56,1954,http://en.wikipedia.org/wiki/1954_Formula_One_season
57,1953,http://en.wikipedia.org/wiki/1953_Formula_One_season
58,1952,http://en.wikipedia.org/wiki/1952_Formula_One_season
59,1951,http://en.wikipedia.org/wiki/1951_Formula_One_season
60,1950,http://en.wikipedia.org/wiki/1950_Formula_One_season
61,2011,http://en.wikipedia.org/wiki/2011_Formula_One_season
62,2012,http://en.wikipedia.org/wiki/2012_Formula_One_season
63,2013,http://en.wikipedia.org/wiki/2013_Formula_One_season
64,2014,http://en.wikipedia.org/wiki/2014_Formula_One_season
65,2015,http://en.wikipedia.org/wiki/2015_Formula_One_season
66,2016,http://en.wikipedia.org/wiki/2016_Formula_One_season
67,2017,http://en.wikipedia.org/wiki/2017_Formula_One_season
68,2018,http://en.wikipedia.org/wiki/2018_Formula_One_World_Championship
69,2019,http://en.wikipedia.org/wiki/2019_Formula_One_World_Championship
70,2020,http://en.wikipedia.org/wiki/2020_Formula_One_World_Championship
71,2021,http://en.wikipedia.org/wiki/2021_Formula_One_World_Championship
72,2022,http://en.wikipedia.org/wiki/2022_Formula_One_World_Championship
73,2023,http://en.wikipedia.org/wiki/2023_Formula_One_World_Championship
74,2024,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship
